id,semanticSlug,currentName,usageContext,module,sourceFile,usageCount,visualDescriptionRu,semanticMeaningRu,recommendedReplacementQueryEn,recommendedReplacementQueryRu,candidateIconNames,suggestedOpenSourceFamilies,replacementComplexity,risk,notes
icon_001,search,search,status,gantt,src/app.js,4,поиск / лупа,"поиск, инспекция, AOI, фильтрация результатов",search magnifier inspection icon,"иконка поиск, инспекция, AOI, фильтрация результатов","search; scan-search; scan-eye","lucide; tabler; phosphor; heroicons; remix; material-symbols",low,low,Статических использований найдено: 4. Динамические вызовы могут добавлять этот же helper через moduleItem.icon/iconName.
icon_002,filter,filter,button,directories,src/app.js,3,воронка фильтра,"фильтр данных, отбор строк",filter funnel data table icon,"иконка фильтр данных, отбор строк","filter; funnel","lucide; tabler; phosphor; heroicons; remix; material-symbols",low,low,Статических использований найдено: 3. Динамические вызовы могут добавлять этот же helper через moduleItem.icon/iconName.
icon_003,bug,bug,other,shared,src/app.js,0,жук / ошибка,"дефект, баг, report, проблема интерфейса",bug issue report icon,"иконка дефект, баг, report, проблема интерфейса","bug; bug-off","lucide; tabler; phosphor; heroicons; remix; material-symbols",low,low,"Определена в helper; прямых статических использований не найдено или используется только динамически."
icon_004,monitor,monitor,other,shared,src/app.js,2,монитор с графиком,"диспетчерская, контроль, экран мониторинга",monitor dashboard analytics icon,"иконка диспетчерская, контроль, экран мониторинга","monitor; activity; chart-no-axes-combined","lucide; tabler; phosphor; heroicons; remix; material-symbols",low,low,Статических использований найдено: 2. Динамические вызовы могут добавлять этот же helper через moduleItem.icon/iconName.
icon_005,map,map,other,shopMap,src/app.js,3,карта / схема,"карта цеха, план помещений",map floor plan workshop icon,"иконка карта цеха, план помещений","map; map-pinned","lucide; tabler; phosphor; heroicons; remix; material-symbols",low,low,Статических использований найдено: 3. Динамические вызовы могут добавлять этот же helper через moduleItem.icon/iconName.
icon_006,palette,palette,other,visualSystem,src/app.js,1,палитра,"UI-состояния, визуальная система",palette design system icon,"иконка UI-состояния, визуальная система",palette,"lucide; tabler; phosphor; heroicons; remix; material-symbols",low,low,Статических использований найдено: 1. Динамические вызовы могут добавлять этот же helper через moduleItem.icon/iconName.
icon_007,target,target,other,shared,src/app.js,3,мишень,"цель, фокус, начальник производства",target goal production control icon,"иконка цель, фокус, начальник производства","target; crosshair","lucide; tabler; phosphor; heroicons; remix; material-symbols",low,low,Статических использований найдено: 3. Динамические вызовы могут добавлять этот же helper через moduleItem.icon/iconName.
icon_008,selection,selection,other,shared,src/app.js,1,список с выбором,"выделение, список вариантов",selection list icon,"иконка выделение, список вариантов","list-checks; rows-3","lucide; tabler; phosphor; heroicons; remix; material-symbols",low,low,Статических использований найдено: 1. Динамические вызовы могут добавлять этот же helper через moduleItem.icon/iconName.
icon_009,keyboard,keyboard,other,authSessionPrototype,src/app.js,3,клавиатура,"рабочий стол, ввод PIN/данных",keyboard tablet input icon,"иконка рабочий стол, ввод PIN/данных",keyboard,"lucide; tabler; phosphor; heroicons; remix; material-symbols",low,low,Статических использований найдено: 3. Динамические вызовы могут добавлять этот же helper через moduleItem.icon/iconName.
icon_010,book,book,other,nomenclature,src/app.js,2,книга / справочник,"технологический отдел, документация",book manual documentation icon,"иконка технологический отдел, документация","book-open; book-text","lucide; tabler; phosphor; heroicons; remix; material-symbols",low,low,Статических использований найдено: 2. Динамические вызовы могут добавлять этот же helper через moduleItem.icon/iconName.
icon_011,document,document,visual-system,authSessionPrototype,src/app.js,11,документ с листом,"СЗН, документ, печатная форма, инструкция PDF",document file work order icon,"иконка СЗН, документ, печатная форма, инструкция PDF","file-text; clipboard-list; scroll-text","lucide; tabler; phosphor; heroicons; remix; material-symbols",low,low,Статических использований найдено: 11. Динамические вызовы могут добавлять этот же helper через moduleItem.icon/iconName.
icon_012,pcb-bom,bom,visual-system,shared,src/app.js,5,микросхема / плата,"BOM, печатная плата, SMT, электронный состав",circuit board bom pcb icon,"иконка BOM, печатная плата, SMT, электронный состав","circuit-board; cpu; microchip","lucide; tabler; phosphor; heroicons; remix; material-symbols",medium,medium,Статических использований найдено: 5. Динамические вызовы могут добавлять этот же helper через moduleItem.icon/iconName.
icon_013,package-inventory,package,button,routes,src/app.js,11,коробка / упаковка,"номенклатура, склад, упаковка, изделие",package box inventory icon,"иконка номенклатура, склад, упаковка, изделие","package; box","lucide; tabler; phosphor; heroicons; remix; material-symbols",low,low,Статических использований найдено: 11. Динамические вызовы могут добавлять этот же helper через moduleItem.icon/iconName.
icon_014,supply,supply,other,supply,src/app.js,1,грузовик поставки,"снабжение, логистика, поставка компонентов",truck supply logistics icon,"иконка снабжение, логистика, поставка компонентов","truck; package-check","lucide; tabler; phosphor; heroicons; remix; material-symbols",medium,medium,Статических использований найдено: 1. Динамические вызовы могут добавлять этот же helper через moduleItem.icon/iconName.
icon_015,worker,worker,button,authPrototype,src/app.js,7,рабочий в каске,"исполнитель, мастерская, рабочий персонал",worker hard hat production operator icon,"иконка исполнитель, мастерская, рабочий персонал","hard-hat; user-round-cog; factory","lucide; tabler; phosphor; heroicons; remix; material-symbols",medium,medium,Статических использований найдено: 7. Динамические вызовы могут добавлять этот же helper через moduleItem.icon/iconName.
icon_016,warehouse,warehouse,other,shared,src/app.js,2,складское здание,"склад, хранение, выдача и возврат",warehouse storage icon,"иконка склад, хранение, выдача и возврат","warehouse; house","lucide; tabler; phosphor; heroicons; remix; material-symbols",medium,medium,Статических использований найдено: 2. Динамические вызовы могут добавлять этот же helper через moduleItem.icon/iconName.
icon_017,directory,directory,button,directories,src/app.js,7,папка / каталог,"справочник, права, реестр данных",folder directory catalog icon,"иконка справочник, права, реестр данных","folder; database","lucide; tabler; phosphor; heroicons; remix; material-symbols",low,low,Статических использований найдено: 7. Динамические вызовы могут добавлять этот же helper через moduleItem.icon/iconName.
icon_018,operation,operation,visual-system,shared,src/app.js,3,связанные узлы,"операция маршрута, участок, производственная связь",workflow nodes operation icon,"иконка операция маршрута, участок, производственная связь","workflow; git-branch","lucide; tabler; phosphor; heroicons; remix; material-symbols",medium,low,Статических использований найдено: 3. Динамические вызовы могут добавлять этот же helper через moduleItem.icon/iconName.
icon_019,settings,settings,other,shared,src/app.js,6,шестеренка,"настройка, программирование, ресурс/станок",settings gear configuration icon,"иконка настройка, программирование, ресурс/станок","settings; cog","lucide; tabler; phosphor; heroicons; remix; material-symbols",low,low,Статических использований найдено: 6. Динамические вызовы могут добавлять этот же helper через moduleItem.icon/iconName.
icon_020,calendar,calendar,form,timesheet,src/app.js,12,календарь,"дата, табель, заказ-наряды, период планирования",calendar date schedule icon,"иконка дата, табель, заказ-наряды, период планирования","calendar-days; calendar","lucide; tabler; phosphor; heroicons; remix; material-symbols",low,medium,Статических использований найдено: 12. Динамические вызовы могут добавлять этот же helper через moduleItem.icon/iconName.
icon_021,camera,camera,visual-system,authSessionPrototype,src/app.js,2,камера,фото report с планшета,camera photo attachment icon,иконка фото report с планшета,camera,"lucide; tabler; phosphor; heroicons; remix; material-symbols",low,low,Статических использований найдено: 2. Динамические вызовы могут добавлять этот же helper через moduleItem.icon/iconName.
icon_022,today,today,button,shared,src/app.js,2,календарь с точкой,"сегодня, переход к текущей дате",today calendar current date icon,"иконка сегодня, переход к текущей дате","calendar-clock; calendar-check","lucide; tabler; phosphor; heroicons; remix; material-symbols",low,low,Статических использований найдено: 2. Динамические вызовы могут добавлять этот же helper через moduleItem.icon/iconName.
icon_023,gantt,gantt,gantt,gantt,src/app.js,8,линейки диаграммы Ганта,"планирование, временная шкала, линия SMT",gantt chart timeline icon,"иконка планирование, временная шкала, линия SMT","chart-gantt; timeline","lucide; tabler; phosphor; heroicons; remix; material-symbols",medium,medium,Статических использований найдено: 8. Динамические вызовы могут добавлять этот же helper через moduleItem.icon/iconName.
icon_024,route-edit,routeEdit,other,routes,src/app.js,2,маршрут с карандашом,"редактирование маршрута, технологический маршрут",route edit pencil icon,"иконка редактирование маршрута, технологический маршрут","route; pencil-ruler","lucide; tabler; phosphor; heroicons; remix; material-symbols",medium,medium,Статических использований найдено: 2. Динамические вызовы могут добавлять этот же helper через moduleItem.icon/iconName.
icon_025,route,route,other,routes,src/app.js,2,маршрут с точками,"маршрут операции, переход между этапами",route path nodes icon,"иконка маршрут операции, переход между этапами","route; git-branch","lucide; tabler; phosphor; heroicons; remix; material-symbols",medium,medium,Статических использований найдено: 2. Динамические вызовы могут добавлять этот же helper через moduleItem.icon/iconName.
icon_026,tree,tree,visual-system,products,src/app.js,6,дерево иерархии,"структура изделия, дерево документов",hierarchy tree structure icon,"иконка структура изделия, дерево документов","network; tree-pine; list-tree","lucide; tabler; phosphor; heroicons; remix; material-symbols",low,low,Статических использований найдено: 6. Динамические вызовы могут добавлять этот же helper через moduleItem.icon/iconName.
icon_027,refresh,refresh,topbar,gantt,src/app.js,15,две круговые стрелки,"обновить, пересчитать, оптимизировать, отмывка",refresh sync recalculate icon,"иконка обновить, пересчитать, оптимизировать, отмывка","refresh-cw; rotate-cw","lucide; tabler; phosphor; heroicons; remix; material-symbols",low,low,Статических использований найдено: 15. Динамические вызовы могут добавлять этот же helper через moduleItem.icon/iconName.
icon_028,reset,reset,button,timesheet,src/app.js,5,стрелка сброса,сброс настроек/дня/графика,reset undo circular arrow icon,иконка сброс настроек/дня/графика,"undo-2; history","lucide; tabler; phosphor; heroicons; remix; material-symbols",low,low,Статических использований найдено: 5. Динамические вызовы могут добавлять этот же helper через moduleItem.icon/iconName.
icon_029,plus,plus,gantt,gantt,src/app.js,8,плюс,добавить строку/запись/масштаб,plus add icon,иконка добавить строку/запись/масштаб,plus,"lucide; tabler; phosphor; heroicons; remix; material-symbols",low,low,Статических использований найдено: 8. Динамические вызовы могут добавлять этот же helper через moduleItem.icon/iconName.
icon_030,minus,minus,gantt,gantt,src/app.js,1,минус,уменьшить масштаб,minus zoom out icon,иконка уменьшить масштаб,minus,"lucide; tabler; phosphor; heroicons; remix; material-symbols",low,low,Статических использований найдено: 1. Динамические вызовы могут добавлять этот же helper через moduleItem.icon/iconName.
icon_031,clock,clock,form,shared,src/app.js,4,часы,"время, длительность, ритм",clock time duration icon,"иконка время, длительность, ритм",clock,"lucide; tabler; phosphor; heroicons; remix; material-symbols",low,low,Статических использований найдено: 4. Динамические вызовы могут добавлять этот же helper через moduleItem.icon/iconName.
