semanticSlug,usageContext,module,meaningRu,sourceKind,family,npmPackage,iconName,reactComponent,previewUrl,notes,localSvgFile
search,status,gantt,"поиск, инспекция, AOI, фильтрация результатов",opensource-package,lucide,lucide-react,search,Search,https://api.iconify.design/lucide:search.svg,Статических использований найдено: 4. Динамические вызовы могут добавлять этот же helper через moduleItem.icon/iconName.,
filter,button,directories,"фильтр данных, отбор строк",opensource-package,lucide,lucide-react,filter,Filter,https://api.iconify.design/lucide:filter.svg,Статических использований найдено: 3. Динамические вызовы могут добавлять этот же helper через moduleItem.icon/iconName.,
bug,other,shared,"дефект, баг, report, проблема интерфейса",opensource-package,lucide,lucide-react,bug,Bug,https://api.iconify.design/lucide:bug.svg,Определена в helper; прямых статических использований не найдено или используется только динамически.,
monitor,other,shared,"диспетчерская, контроль, экран мониторинга",opensource-package,lucide,lucide-react,monitor,Monitor,https://api.iconify.design/lucide:monitor.svg,Статических использований найдено: 2. Динамические вызовы могут добавлять этот же helper через moduleItem.icon/iconName.,
map,other,shopMap,"карта цеха, план помещений",opensource-package,lucide,lucide-react,map,Map,https://api.iconify.design/lucide:map.svg,Статических использований найдено: 3. Динамические вызовы могут добавлять этот же helper через moduleItem.icon/iconName.,
palette,other,visualSystem,"UI-состояния, визуальная система",opensource-package,lucide,lucide-react,palette,Palette,https://api.iconify.design/lucide:palette.svg,Статических использований найдено: 1. Динамические вызовы могут добавлять этот же helper через moduleItem.icon/iconName.,
target,other,shared,"цель, фокус, начальник производства",opensource-package,lucide,lucide-react,target,Target,https://api.iconify.design/lucide:target.svg,Статических использований найдено: 3. Динамические вызовы могут добавлять этот же helper через moduleItem.icon/iconName.,
selection,other,shared,"выделение, список вариантов",opensource-package,lucide,lucide-react,list-checks,ListChecks,https://api.iconify.design/lucide:list-checks.svg,Статических использований найдено: 1. Динамические вызовы могут добавлять этот же helper через moduleItem.icon/iconName.,
keyboard,other,authSessionPrototype,"рабочий стол, ввод PIN/данных",opensource-package,lucide,lucide-react,keyboard,Keyboard,https://api.iconify.design/lucide:keyboard.svg,Статических использований найдено: 3. Динамические вызовы могут добавлять этот же helper через moduleItem.icon/iconName.,
book,other,nomenclature,"технологический отдел, документация",opensource-package,lucide,lucide-react,book-open,BookOpen,https://api.iconify.design/lucide:book-open.svg,Статических использований найдено: 2. Динамические вызовы могут добавлять этот же helper через moduleItem.icon/iconName.,
document,visual-system,authSessionPrototype,"СЗН, документ, печатная форма, инструкция PDF",opensource-package,lucide,lucide-react,file-text,FileText,https://api.iconify.design/lucide:file-text.svg,Статических использований найдено: 11. Динамические вызовы могут добавлять этот же helper через moduleItem.icon/iconName.,
pcb-bom,visual-system,shared,"BOM, печатная плата, SMT, электронный состав",opensource-package,lucide,lucide-react,circuit-board,CircuitBoard,https://api.iconify.design/lucide:circuit-board.svg,Статических использований найдено: 5. Динамические вызовы могут добавлять этот же helper через moduleItem.icon/iconName.,
package-inventory,button,routes,"номенклатура, склад, упаковка, изделие",opensource-package,lucide,lucide-react,package,Package,https://api.iconify.design/lucide:package.svg,Статических использований найдено: 11. Динамические вызовы могут добавлять этот же helper через moduleItem.icon/iconName.,
supply,other,supply,"снабжение, логистика, поставка компонентов",opensource-package,lucide,lucide-react,truck,Truck,https://api.iconify.design/lucide:truck.svg,Статических использований найдено: 1. Динамические вызовы могут добавлять этот же helper через moduleItem.icon/iconName.,
worker,button,authPrototype,"исполнитель, мастерская, рабочий персонал",opensource-package,lucide,lucide-react,hard-hat,HardHat,https://api.iconify.design/lucide:hard-hat.svg,Статических использований найдено: 7. Динамические вызовы могут добавлять этот же helper через moduleItem.icon/iconName.,
warehouse,other,shared,"склад, хранение, выдача и возврат",opensource-package,lucide,lucide-react,warehouse,Warehouse,https://api.iconify.design/lucide:warehouse.svg,Статических использований найдено: 2. Динамические вызовы могут добавлять этот же helper через moduleItem.icon/iconName.,
directory,button,directories,"справочник, права, реестр данных",opensource-package,lucide,lucide-react,folder,Folder,https://api.iconify.design/lucide:folder.svg,Статических использований найдено: 7. Динамические вызовы могут добавлять этот же helper через moduleItem.icon/iconName.,
operation,visual-system,shared,"операция маршрута, участок, производственная связь",opensource-package,lucide,lucide-react,workflow,Workflow,https://api.iconify.design/lucide:workflow.svg,Статических использований найдено: 3. Динамические вызовы могут добавлять этот же helper через moduleItem.icon/iconName.,
settings,other,shared,"настройка, программирование, ресурс/станок",opensource-package,lucide,lucide-react,settings,Settings,https://api.iconify.design/lucide:settings.svg,Статических использований найдено: 6. Динамические вызовы могут добавлять этот же helper через moduleItem.icon/iconName.,
calendar,form,timesheet,"дата, табель, заказ-наряды, период планирования",opensource-package,lucide,lucide-react,calendar-days,CalendarDays,https://api.iconify.design/lucide:calendar-days.svg,Статических использований найдено: 12. Динамические вызовы могут добавлять этот же helper через moduleItem.icon/iconName.,
camera,visual-system,authSessionPrototype,фото report с планшета,opensource-package,lucide,lucide-react,camera,Camera,https://api.iconify.design/lucide:camera.svg,Статических использований найдено: 2. Динамические вызовы могут добавлять этот же helper через moduleItem.icon/iconName.,
today,button,shared,"сегодня, переход к текущей дате",opensource-package,lucide,lucide-react,calendar-check,CalendarCheck,https://api.iconify.design/lucide:calendar-check.svg,Статических использований найдено: 2. Динамические вызовы могут добавлять этот же helper через moduleItem.icon/iconName.,
gantt,gantt,gantt,"планирование, временная шкала, линия SMT",opensource-package,lucide,lucide-react,chart-gantt,ChartGantt,https://api.iconify.design/lucide:chart-gantt.svg,Статических использований найдено: 8. Динамические вызовы могут добавлять этот же helper через moduleItem.icon/iconName.,
route-edit,other,routes,"редактирование маршрута, технологический маршрут",opensource-package,lucide,lucide-react,pencil-ruler,PencilRuler,https://api.iconify.design/lucide:pencil-ruler.svg,Статических использований найдено: 2. Динамические вызовы могут добавлять этот же helper через moduleItem.icon/iconName.,
route,other,routes,"маршрут операции, переход между этапами",opensource-package,lucide,lucide-react,route,Route,https://api.iconify.design/lucide:route.svg,Статических использований найдено: 2. Динамические вызовы могут добавлять этот же helper через moduleItem.icon/iconName.,
tree,visual-system,products,"структура изделия, дерево документов",opensource-package,lucide,lucide-react,network,Network,https://api.iconify.design/lucide:network.svg,Статических использований найдено: 6. Динамические вызовы могут добавлять этот же helper через moduleItem.icon/iconName.,
refresh,topbar,gantt,"обновить, пересчитать, оптимизировать, отмывка",opensource-package,lucide,lucide-react,refresh-cw,RefreshCw,https://api.iconify.design/lucide:refresh-cw.svg,Статических использований найдено: 15. Динамические вызовы могут добавлять этот же helper через moduleItem.icon/iconName.,
reset,button,timesheet,сброс настроек/дня/графика,opensource-package,lucide,lucide-react,undo-2,Undo2,https://api.iconify.design/lucide:undo-2.svg,Статических использований найдено: 5. Динамические вызовы могут добавлять этот же helper через moduleItem.icon/iconName.,
plus,gantt,gantt,добавить строку/запись/масштаб,opensource-package,lucide,lucide-react,plus,Plus,https://api.iconify.design/lucide:plus.svg,Статических использований найдено: 8. Динамические вызовы могут добавлять этот же helper через moduleItem.icon/iconName.,
minus,gantt,gantt,уменьшить масштаб,opensource-package,lucide,lucide-react,minus,Minus,https://api.iconify.design/lucide:minus.svg,Статических использований найдено: 1. Динамические вызовы могут добавлять этот же helper через moduleItem.icon/iconName.,
clock,form,shared,"время, длительность, ритм",opensource-package,lucide,lucide-react,clock,Clock,https://api.iconify.design/lucide:clock.svg,Статических использований найдено: 4. Динамические вызовы могут добавлять этот же helper через moduleItem.icon/iconName.,
chevron-down,sidebar,products,"раскрыть, выпадающее меню, вниз",opensource-package,lucide,lucide-react,chevron-down,ChevronDown,https://api.iconify.design/lucide:chevron-down.svg,Статических использований найдено: 5. Динамические вызовы могут добавлять этот же helper через moduleItem.icon/iconName.,
chevron-up,button,products,"свернуть, поднять строку",opensource-package,lucide,lucide-react,chevron-up,ChevronUp,https://api.iconify.design/lucide:chevron-up.svg,Статических использований найдено: 3. Динамические вызовы могут добавлять этот же helper через moduleItem.icon/iconName.,
chevron-right,other,shared,"раскрыть дерево, следующий уровень",opensource-package,lucide,lucide-react,chevron-right,ChevronRight,https://api.iconify.design/lucide:chevron-right.svg,Определена в helper; прямых статических использований не найдено или используется только динамически.,
alert,status,shared,"ошибка, риск, предупреждение, критичность",opensource-package,lucide,lucide-react,triangle-alert,TriangleAlert,https://api.iconify.design/lucide:triangle-alert.svg,Статических использований найдено: 17. Динамические вызовы могут добавлять этот же helper через moduleItem.icon/iconName.,
info,table-action,planning,"информация, пустое состояние, подсказка",opensource-package,lucide,lucide-react,info,Info,https://api.iconify.design/lucide:info.svg,Статических использований найдено: 24. Динамические вызовы могут добавлять этот же helper через moduleItem.icon/iconName.,
check,status,gantt,"готово, подтверждение, качество, ОТК",opensource-package,lucide,lucide-react,check,Check,https://api.iconify.design/lucide:check.svg,Статических использований найдено: 15. Динамические вызовы могут добавлять этот же helper через moduleItem.icon/iconName.,
close,status,gantt,"закрыть, отмена, снять выбор",opensource-package,lucide,lucide-react,x,X,https://api.iconify.design/lucide:x.svg,Статических использований найдено: 26. Динамические вызовы могут добавлять этот же helper через moduleItem.icon/iconName.,
arrow-left,topbar,authPrototype,"назад, предыдущий, outdent",opensource-package,lucide,lucide-react,arrow-left,ArrowLeft,https://api.iconify.design/lucide:arrow-left.svg,Статических использований найдено: 9. Динамические вызовы могут добавлять этот же helper через moduleItem.icon/iconName.,
pin-backspace-apple,visual-system,authPrototype,удаление последней цифры PIN,opensource-package,lucide,lucide-react,delete,Delete,https://api.iconify.design/lucide:delete.svg,Статических использований найдено: 2. Динамические вызовы могут добавлять этот же helper через moduleItem.icon/iconName.,
arrow-right,topbar,shiftWorkOrders,"вперед, следующий, indent/open",opensource-package,lucide,lucide-react,arrow-right,ArrowRight,https://api.iconify.design/lucide:arrow-right.svg,Статических использований найдено: 8. Динамические вызовы могут добавлять этот же helper через moduleItem.icon/iconName.,
edit,table-action,gantt,редактировать,opensource-package,lucide,lucide-react,pencil,Pencil,https://api.iconify.design/lucide:pencil.svg,Статических использований найдено: 7. Динамические вызовы могут добавлять этот же helper через moduleItem.icon/iconName.,
play,status,gantt,"старт, взять в работу, статус",opensource-package,lucide,lucide-react,play,Play,https://api.iconify.design/lucide:play.svg,Статических использований найдено: 3. Динамические вызовы могут добавлять этот же helper через moduleItem.icon/iconName.,
split,button,products,"узел, сборка, разделение маршрута",opensource-package,lucide,lucide-react,split,Split,https://api.iconify.design/lucide:split.svg,Статических использований найдено: 6. Динамические вызовы могут добавлять этот же helper через moduleItem.icon/iconName.,
trash,table-action,gantt,удалить объект,opensource-package,lucide,lucide-react,trash-2,Trash2,https://api.iconify.design/lucide:trash-2.svg,Статических использований найдено: 20. Динамические вызовы могут добавлять этот же helper через moduleItem.icon/iconName.,
trash-soft,table-action,routes,удалить строку/позицию без тяжелого danger,opensource-package,lucide,lucide-react,trash,Trash,https://api.iconify.design/lucide:trash.svg,Статических использований найдено: 4. Динамические вызовы могут добавлять этот же helper через moduleItem.icon/iconName.,
save,form,products,"сохранить, зафиксировать",opensource-package,lucide,lucide-react,save,Save,https://api.iconify.design/lucide:save.svg,Статических использований найдено: 12. Динамические вызовы могут добавлять этот же helper через moduleItem.icon/iconName.,
chart,other,shared,"матрица, аналитика, метрики",opensource-package,lucide,lucide-react,chart-column,ChartColumn,https://api.iconify.design/lucide:chart-column.svg,Статических использований найдено: 2. Динамические вызовы могут добавлять этот же helper через moduleItem.icon/iconName.,
upload,other,shared,загрузка файла/фото,opensource-package,lucide,lucide-react,upload,Upload,https://api.iconify.design/lucide:upload.svg,Статических использований найдено: 2. Динамические вызовы могут добавлять этот же helper через moduleItem.icon/iconName.,
download,status,shiftWorkOrders,"экспорт, печать PDF, скачать",opensource-package,lucide,lucide-react,download,Download,https://api.iconify.design/lucide:download.svg,Статических использований найдено: 6. Динамические вызовы могут добавлять этот же helper через moduleItem.icon/iconName.,
copy,other,shared,копировать,opensource-package,lucide,lucide-react,copy,Copy,https://api.iconify.design/lucide:copy.svg,Статических использований найдено: 1. Динамические вызовы могут добавлять этот же helper через moduleItem.icon/iconName.,
focus,topbar,shared,режим фокуса/полный экран,opensource-package,lucide,lucide-react,scan,Scan,https://api.iconify.design/lucide:scan.svg,Статических использований найдено: 4. Динамические вызовы могут добавлять этот же helper через moduleItem.icon/iconName.,
lock,button,authPrototype,"авторизация, роль, доступ закрыт",opensource-package,lucide,lucide-react,lock-keyhole,LockKeyhole,https://api.iconify.design/lucide:lock-keyhole.svg,Статических использований найдено: 5. Динамические вызовы могут добавлять этот же helper через moduleItem.icon/iconName.,
unlock,other,shared,"успешная авторизация, доступ открыт",opensource-package,lucide,lucide-react,unlock-keyhole,UnlockKeyhole,https://api.iconify.design/lucide:unlock-keyhole.svg,Статических использований найдено: 1. Динамические вызовы могут добавлять этот же helper через moduleItem.icon/iconName.,
employee-hierarchy-connectors,operations-resources,employees,показывает иерархические связи отделов/участков/ресурсов,opensource-package,lucide,lucide-react,workflow,Workflow,https://api.iconify.design/lucide:workflow.svg,"Inline SVG не заменять механически: часто связан с геометрией, marker-end, mask или hit-area.",
employee-hierarchy-arrow-marker,operations-resources,employees,направление связи в структуре сотрудников и ресурсов,opensource-package,lucide,lucide-react,arrow-right,ArrowRight,https://api.iconify.design/lucide:arrow-right.svg,"Inline SVG не заменять механически: часто связан с геометрией, marker-end, mask или hit-area.",
visual-gantt-dependency-sample,visual-system,visualSystem,эталон отображения зависимости операций,opensource-package,lucide,lucide-react,workflow,Workflow,https://api.iconify.design/lucide:workflow.svg,"Inline SVG не заменять механически: часто связан с геометрией, marker-end, mask или hit-area.",
visual-gantt-transfer-arrow,visual-system,visualSystem,передача между этапами маршрута,opensource-package,lucide,lucide-react,corner-down-right,CornerDownRight,https://api.iconify.design/lucide:corner-down-right.svg,"Inline SVG не заменять механически: часто связан с геометрией, marker-end, mask или hit-area.",
route-print-qr-placeholder,other,routes,машиночитаемый идентификатор печатного документа,opensource-package,lucide,lucide-react,qr-code,QrCode,https://api.iconify.design/lucide:qr-code.svg,"Inline SVG не заменять механически: часто связан с геометрией, marker-end, mask или hit-area.",
gantt-dependency-layer,gantt,gantt,визуальные связи между плановыми слотами,opensource-package,lucide,lucide-react,workflow,Workflow,https://api.iconify.design/lucide:workflow.svg,"Inline SVG не заменять механически: часто связан с геометрией, marker-end, mask или hit-area.",
gantt-dependency-arrow,gantt,gantt,направление зависимости между операциями,opensource-package,lucide,lucide-react,arrow-right,ArrowRight,https://api.iconify.design/lucide:arrow-right.svg,"Inline SVG не заменять механически: часто связан с геометрией, marker-end, mask или hit-area.",
gantt-dependency-edit-hit,gantt,gantt,интерактивная зона редактирования связи,opensource-package,lucide,lucide-react,mouse-pointer-click,MousePointerClick,https://api.iconify.design/lucide:mouse-pointer-click.svg,"Inline SVG не заменять механически: часто связан с геометрией, marker-end, mask или hit-area.",
module-brand-letter-m,sidebar,global-shell,бренд MES в главном сайдбаре,opensource-package,lucide,lucide-react,CUSTOM,Custom,,"CSS-generated icon/marker. При замене важно проверить layout, hit-area и псевдоэлементы.",
operation-slot-locked-letter-l,gantt,gantt,зафиксированная операция в Ганте,opensource-package,lucide,lucide-react,lock-keyhole,LockKeyhole,https://api.iconify.design/lucide:lock-keyhole.svg,"CSS-generated icon/marker. При замене важно проверить layout, hit-area и псевдоэлементы.",
select-chevron-css,form,shared,выпадающий список,opensource-package,lucide,lucide-react,chevron-down,ChevronDown,https://api.iconify.design/lucide:chevron-down.svg,"CSS-generated icon/marker. При замене важно проверить layout, hit-area и псевдоэлементы.",
